episode,global_step,elapsed_s,reward_raw,reward_smooth,fill_rate,stockout,cost_holding,cost_stockout,cost_ordering,cost_overflow,cost_service_penalty,cost_total,entropy,approx_kl,clip_frac,value_loss,explained_variance,lr_scale,ent_coef,eval_reward,eval_cost,eval_fill,eval_feasible
1,365,0.5,-16994443.255362216,-16994443.255362216,0.1369789290706802,257273.48541259766,1851660.8786621094,2572734.8555908203,456455.0,7336432.546630859,4777159.990907669,16994443.271791458,,,,,,,0.02,nan,nan,nan,
2,730,1.0,-17209435.851347424,-17101939.553354822,0.13628797941873538,261100.1438217163,1851362.55859375,2611001.438232422,455575.0,7412327.531738281,4879169.358840942,17209435.887405396,,,,,,,0.02,nan,nan,nan,
3,1095,5.4,-19049510.038174868,-17751129.714961503,0.20744166271337772,332994.9705276489,1803699.9509277344,3329949.702758789,452495.0,6969073.6494140625,6494291.732406616,19049510.035507202,1.7782967169033854,0.013438650365921938,0.0975004498797812,2.74655828977886,-0.000712275505065918,,0.019964000000000003,nan,nan,nan,
4,1460,6.0,-16550583.862049013,-17450993.25173338,0.15672036216378005,280120.63009643555,1839823.7739257812,2801206.3040771484,438260.0,6280316.099121094,5190977.721618652,16550583.898742676,1.7782967169033854,0.013438650365921938,0.0975004498797812,2.74655828977886,-0.000712275505065918,,0.019964000000000003,nan,nan,nan,
5,1825,6.4,-18389403.71353253,-17638675.34409321,0.1742925047286683,344145.80124664307,1818756.6206054688,3441458.007446289,437220.0,6265423.445556641,6426545.630516052,18389403.70412445,1.7782967169033854,0.013438650365921938,0.0975004498797812,2.74655828977886,-0.000712275505065918,,0.019964000000000003,nan,nan,nan,
6,2190,10.4,-16206717.438499575,-17400015.693160936,0.15311701025986346,280297.94441223145,1841483.0913085938,2802979.4575195312,428715.0,5940158.1484375,5193381.759536743,16206717.456802368,1.7383815677542436,0.011055633020652366,0.09019684379822329,2.155826305088244,-0.007979989051818848,,0.019910000000000004,nan,nan,nan,
7,2555,10.9,-17731745.243024535,-17447405.628855735,0.17438602247454826,348314.1529083252,1816736.939453125,3483141.5113067627,416525.0,5249104.783569336,6766236.976074219,17731745.210403442,1.7383815677542436,0.011055633020652366,0.09019684379822329,2.155826305088244,-0.007979989051818848,,0.019910000000000004,nan,nan,nan,
8,2920,11.5,-14840385.020889724,-17121528.052859984,0.12075619251732217,257381.0397644043,1855485.3979492188,2573810.3991088867,415055.0,5245469.822265625,4750564.410629272,14840385.029953003,1.7383815677542436,0.011055633020652366,0.09019684379822329,2.155826305088244,-0.007979989051818848,,0.019910000000000004,nan,nan,nan,
9,3285,15.6,-16070526.269619782,-17004750.076944407,0.2531628362301107,323160.17494904995,1780274.4399414062,3231601.7425785065,401980.0,4608705.683898926,6047964.408744812,16070526.27516365,1.6756765277762162,0.01081269654121953,0.07279780869813342,1.8906425661162327,0.03586292266845703,,0.019856,nan,nan,nan,
10,3650,16.1,-16201457.435495032,-16924420.81279947,0.2255317749031438,328473.65937387943,1791191.3859863281,3284736.5941963196,390045.0,4378514.014404297,6356970.42175293,16201457.416339874,1.6756765277762162,0.01081269654121953,0.07279780869813342,1.8906425661162327,0.03586292266845703,,0.019856,nan,nan,nan,
